rmse,angular_error_deg,translation_error_px,scale_error_percent,true_rotation_deg,estimated_rotation_deg,true_translation_x,estimated_translation_x,true_translation_y,estimated_translation_y,true_scale,estimated_scale,image_id,num_matches,num_inliers,true_angle
0.4148882,0.028906010617674838,0.4416702910839422,0.022982030654677965,29.999999999999996,29.971093989382315,131.0379973049469,130.61493354965202,-53.762002695053056,-53.888847895915994,0.8,0.7998161437547626,0,53,43,-30.0
1.1756269,0.031833332624529476,2.366375623410847,1.0222672514405313,25.714285714285715,25.682452381661186,114.06742813793446,112.18214590811904,-52.85559216874521,-54.285782542442114,0.8285714285714286,0.8370416429405073,1,52,39,-25.714285714285715
0.72190535,0.11587087579101762,1.6150499312196325,0.6589916795579186,21.42857142857143,21.544442304362434,96.19167541141292,96.06590235620942,-49.855127607375614,-51.465272761986625,0.8571428571428572,0.8627913572533537,2,55,41,-21.42857142857143
0.720253,0.14286713168766596,0.29719845117078014,0.02227801649515752,17.142857142857142,16.999990011169476,77.59289391265334,77.8866612416381,-44.645795193436044,-44.60076547214585,0.8857142857142857,0.8855169661396143,3,52,44,-17.142857142857142
0.8407805,0.2785010312099985,1.9305241126251431,0.3890858067628223,12.857142857142858,12.57864182593285,58.46520070971101,57.70708082920571,-37.12859809310033,-35.35316079592261,0.9142857142857143,0.9107283583381685,4,63,49,-12.857142857142858
0.5426169,0.013718040817593646,0.8447451752319801,0.10403690748304925,8.571428571428573,8.585146612246174,39.01332141356594,39.79909268212917,-27.22148214484184,-27.531575557506862,0.9428571428571428,0.9418762234437312,5,68,59,-8.571428571428573
0.13451639,0.019005837077088472,0.289527938373001,0.04266036070637482,4.285714285714286,4.266708448637192,19.451111037012303,19.164910696632404,-14.860359442081622,-14.816589677803641,0.9714285714285714,0.9718429863611476,6,89,74,-4.285714285714285
3.2066292e-14,0.0,9.83530656857761e-14,4.440892098500626e-14,0.0,-1.3683755518340275e-14,0.0,-6.450654423237583e-15,0.0,9.814129909117034e-14,1.0,0.9999999999999996,7,249,249,0.0
0.4824328,0.020652054194556513,0.43896491061170867,0.3062579404400449,-4.285714285714286,-4.265062231519738,-19.112649705669334,-19.454790662879393,17.38520979721026,17.11020114616864,1.0285714285714285,1.031721510244526,8,86,74,4.285714285714285
0.35801372,0.014318200657271518,0.6725420634568935,0.059296243334891245,-8.571428571428571,-8.585746772085844,-37.65525531410037,-38.20016334791799,37.30064999084467,37.69484291543854,1.0571428571428572,1.057769703143826,9,90,81,8.57142857142857
0.47376812,0.06324799737481612,0.6441519077864054,0.12079003130146071,-12.857142857142852,-12.92039085451767,-55.39378187700177,-55.848337162950735,59.73099718620376,60.18740837397277,1.0857142857142856,1.084402851088727,10,87,72,12.857142857142854
0.81988233,0.08702434503854306,1.4619307622085467,0.6224996892904979,-17.142857142857142,-17.055832797818592,-72.09355896640116,-73.51147373289196,84.63990712217574,84.28387444325566,1.1142857142857143,1.1212221393949513,11,76,65,17.14285714285714
0.25414282,0.03277361323679884,0.5427132029989347,0.16950511043629102,-21.42857142857143,-21.39579781533464,-87.52112107090181,-88.06375134150483,111.96985465519936,111.97934202230851,1.1428571428571428,1.1447943441192718,12,58,48,21.42857142857143
0.24017458,0.02410893580878337,0.20070903183143715,0.006020589414208032,-25.71428571428571,-25.690176778476932,-101.44608412023408,-101.49809641016756,141.64212741896773,141.83598003606275,1.1714285714285713,1.171358044524005,13,64,49,25.714285714285715
0.2892515,0.04879530000067689,0.5468451145828256,0.11270905326045873,-29.999999999999993,-29.951204699999327,-113.64300404257953,-114.1829715531657,173.5569959574204,173.64345211309762,1.2,1.2013525086391257,14,61,54,30.0
